source_id,source_name,source_type,segment,url,region,publication_regular,archive_available,platform_accounts_allowed,selection_reason,status,notes
src_001,ТАСС,agency,news,https://tass.ru/,,true,true,false,"Источник корпуса, 19 материалов",active,
src_002,РИА Новости,agency,news,https://ria.ru/,,true,true,false,"Источник корпуса, 8 материалов",active,
src_003,Коммерсантъ,business_media,news,https://www.kommersant.ru/,,true,true,false,"Источник корпуса, 23 материалов",active,
src_004,РБК,business_media,news,https://www.rbc.ru/,,true,true,false,"Источник корпуса, 9 материалов",active,
src_005,Известия,federal_media,news,https://iz.ru/,,true,true,false,"Источник корпуса, 3 материалов",active,
src_006,Газета.ru,federal_media,news,https://www.gazeta.ru/,,true,true,false,"Источник корпуса, 3 материалов",active,
src_007,Ведомости,business_media,news,https://www.vedomosti.ru/,,true,true,false,"Источник корпуса, 17 материалов",active,
src_008,Интерфакс,agency,news,https://www.interfax.ru/,,true,true,false,"Источник корпуса, 1 материалов",active,
src_009,Лента.ру,federal_media,news,https://lenta.ru/,,true,true,false,"Источник корпуса, 5 материалов",active,
src_010,RT,federal_media,news,https://russian.rt.com/,,true,true,false,"Источник корпуса, 2 материалов",active,
src_011,РБК Тренды,business_media,analytics,https://trends.rbc.ru/,,true,true,false,"Источник корпуса, 7 материалов",active,
src_012,РСМД,business_media,analytics,https://russiancouncil.ru/,,true,true,false,"Источник корпуса, 2 материалов",active,
src_013,Россия в глобальной политике,business_media,analytics,https://globalaffairs.ru/,,true,true,false,"Источник корпуса, 2 материалов",active,
src_014,Эксперт,business_media,analytics,https://expert.ru/,,true,true,false,"Источник корпуса, 5 материалов",active,
src_015,Forbes Russia,business_media,interview,https://www.forbes.ru/,,true,true,false,"Источник корпуса, 8 материалов",active,
src_016,Сноб,cultural_media,interview,https://snob.ru/,,true,true,false,"Источник корпуса, 7 материалов",active,
src_017,НВО — Независимая газета,federal_media,opinion,https://nvo.ng.ru/,,true,true,false,"Источник корпуса, 3 материалов",active,
src_018,Культура.РФ,cultural_media,cultural_journalism,https://www.culture.ru/,,true,true,false,"Источник корпуса, 4 материалов",active,
src_019,Независимая газета,federal_media,cultural_journalism,https://www.ng.ru/,,true,true,false,"Источник корпуса, 6 материалов",active,
src_020,РБК Стиль,cultural_media,cultural_journalism,https://style.rbc.ru/,,true,true,false,"Источник корпуса, 5 материалов",active,
src_021,REGNUM,federal_media,cultural_journalism,https://regnum.ru/,,true,true,false,"Источник корпуса, 3 материалов",active,
src_022,Российская газета,official_source,cultural_journalism,https://rg.ru/,,true,true,false,"Источник корпуса, 4 материалов",active,
src_023,N+1,science_media,popular_science,https://nplus1.ru/,,true,true,false,"Источник корпуса, 5 материалов",active,
src_024,Хабр,science_media,popular_science,https://habr.com/,,true,true,false,"Источник корпуса, 2 материалов",active,
src_025,ПостНаука,science_media,popular_science,https://postnauka.ru/,,true,true,false,"Источник корпуса, 2 материалов",active,
src_026,Неизвестный источник,other,popular_science,https://elementy.ru/,,true,true,false,"Источник корпуса, 45 материалов",active,
