ID_материала,URL,Заголовок,Раздел_корпуса,Номер_объекта,Тип_текста,Концепт,Фрейм,Метафора,Субъектная_роль,Ценностная_оппозиция,Модель_действия
M001,https://tass.ru/ekonomika/27040453,Затраты бизнеса в РФ на ИИ в 2025 году составили 257 млрд рублей,Быстрый (новостной),1,Новость о внедрении ИИ,РАЗВИТИЕ,технологический прорыв,технология как двигатель,государство / эксперт,развитие / адаптация,модернизация
M002,https://tass.ru/ekonomika/27570217,В рамочном законопроекте про ИИ в России учли предложения разработчиков,Быстрый (новостной),1,Новость о регулировании ИИ,БЕЗОПАСНОСТЬ,регулирование,закон как рамка,разработчик / парламент,порядок / хаос,регулирование
M003,https://ria.ru/20260530/uchenye-2095743428.html,Российские ученые оценили влияние ИИ на фармацевтику,Быстрый (новостной),1,Новость о науке,ЗНАНИЕ,научное открытие,наука как двигатель,учёный / общество,открытие / застой,инновация
M004,https://www.kommersant.ru/doc/8692923,Путин назвал конкурентные преимущества России в развитии ИИ,Быстрый (новостной),1,Новость о стратегии ИИ,СИЛА,национальное лидерство,государство как механизм,президент / страна,лидерство / партнёрство,стратегическое развитие
M005,https://www.rbc.ru/technology_and_media/08/11/2024/671b85db9a794780798aea5b,Зачем промышленным предприятиям России нужны нейросети,Быстрый (новостной),1,Новость о внедрении ИИ,ЭФФЕКТИВНОСТЬ,промышленная модернизация,нейросеть как инструмент,предприятие / государство,модернизация / постепенность,оптимизация
M006,https://iz.ru/1814425/anton-belyi/mashinnyj-cvet-rynok-ii-v-rossii-kratno-vyrastet-v-2025-godu,Рынок ИИ в России кратно вырастет в 2025 году,Быстрый (новостной),1,Новость о рынке ИИ,РОСТ,рыночная экспансия,рынок как организм,бизнес / инвестор,рост / стабилизация,инвестиция
M007,https://iz.ru/2049479/iana-shturma/novyj-kod-hakery-stali-vdvoe-chashche-ispolzovat-ii-dlya-atak,Хакеры стали вдвое чаще использовать ИИ для атак,Быстрый (новостной),1,Новость о кибербезопасности,ВЫЗОВ,кибератака,ИИ как инструмент,хакер / государство,вызов / защита,защита
M008,https://www.gazeta.ru/politics/2024/05/14/19076389.shtml,"Новое правительство России 2024: все министры, вице-премьеры",Быстрый (новостной),1,Новость о власти,ВЛАСТЬ,государственное управление,правительство как механизм,президент / министр,стабильность / перемены,управление
M009,https://www.gazeta.ru/social/2024/03/01/18354896.shtml,"Путин послал послание: современная, комфортная Россия",Быстрый (новостной),1,Новость о национальном курсе,БУДУЩЕЕ,национальный проект,страна как семья,президент / народ,развитие / стабилизация,строительство
M010,https://ria.ru/20251208/putiny-2060617599.html,Путин поручил разработать меры по улучшению демографии,Быстрый (новостной),1,Новость о демографии,ЖИЗНЬ,демографическая политика,нация как организм,президент / правительство,воспроизводство / сокращение,сохранение
M011,https://ria.ru/20251015/rossiya-2048504926.html,Концепция миграционной политики коснется образования и русского языка,Быстрый (новостной),1,Новость о миграции,ИДЕНТИЧНОСТЬ,культурная интеграция,миграция как поток,государство / мигрант,интеграция / обособление,ассимиляция
M012,https://www.rbc.ru/society/31/01/2025/679ceb1f9a794739d6fa3ad1,Росстат назвал численность россиян к началу 2025 года,Быстрый (новостной),1,Новость о населении,ДЕМОГРАФИЯ,статистический учёт,население как ресурс,государство / общество,рост / сокращение,мониторинг
M013,https://iz.ru/1859796/valentina-averanova/roditelnyi-padez-u-rossii-poavilas-demograficeskaa-strategia,У России появилась демографическая стратегия,Быстрый (новостной),1,Новость о стратегии,СЕМЬЯ,стратегическое планирование,стратегия как путь,государство / семья,планирование / стихийность,планирование
M014,https://www.vedomosti.ru/society/articles/2025/05/16/1110458-vtsiom-videlil-chetire-demograficheskih-stsenariya,ВЦИОМ выделил четыре демографических сценария к 2036,Быстрый (новостной),1,Новость о прогнозе,ПРОГНОЗ,сценарное планирование,будущее как развилка,эксперт / общество,оптимизм / пессимизм,прогнозирование
M015,https://tass.ru/opinions/27578597,Образование как главный экспорт XXI века: шансы России,Быстрый (новостной),1,Новость об образовании,ЭКСПОРТ,образовательная экспансия,образование как товар,университет / государство,лидерство / отставание,экспансия
M016,https://tass.ru/obschestvo/26279597,Ведущие вузы РФ начнут переход на новую систему образования,Быстрый (новостной),1,Новость о реформе образования,РЕФОРМА,образовательная трансформация,реформа как переход,министерство / вуз,новое / старое,трансформация
M017,https://www.interfax.ru/russia/1077376,Вузы перейдут на новую систему образования с сентября,Быстрый (новостной),1,Новость о реформе образования,ПЕРЕХОД,системная трансформация,образование как механизм,министерство / вуз,развитие / адаптация,реализация
M018,https://www.rbc.ru/economics/06/02/2026/6985fe749a7947b0e2a18e3e,Экономика РФ в 2025 году выросла на 1%,Быстрый (новостной),1,Новость о ВВП,РОСТ,экономическая динамика,экономика как организм,государство / Росстат,рост / корректировка,стимулирование
M019,https://www.vedomosti.ru/economics/articles/2025/01/10/1085363-visokaya-klyuchevaya-stavka-zamedlit-rost-ekonomiki,Высокая ключевая ставка замедлит рост экономики в 2025,Быстрый (новостной),1,Новость о ставке,РЕГУЛИРОВАНИЕ,монетарная политика,ставка как тормоз,ЦБ / бизнес,осторожность / риск,регулирование
M020,https://www.rbc.ru/rbcfreenews/696a72839a7947f46b0d9367,Росстат назвал размер инфляции в 2025 году,Быстрый (новостной),1,Новость об инфляции,СТОИМОСТЬ,инфляционный процесс,инфляция как давление,ЦБ / потребитель,дороговизна / доступность,контроль
M021,https://www.vedomosti.ru/economics/articles/2025/06/23/1119182-putin-nazval-pyat-elementov-strukturnoi-transformatsii-ekonomiki,Путин назвал пять элементов структурной трансформации экономики,Быстрый (новостной),1,Новость о трансформации,ТРАНСФОРМАЦИЯ,структурные реформы,экономика как здание,президент / правительство,обновление / преемственность,реформа
M022,https://www.vedomosti.ru/economics/articles/2025/09/24/1141664-minek-snizil-prognoz,Минэк снизил прогноз роста экономики до 1% в 2025,Быстрый (новостной),1,Новость о прогнозе,КОРРЕКТИРОВКА,прогнозная корректировка,прогноз как прицел,министерство / экономика,реалистичный / оптимистичный сценарий,корректировка
M023,https://lenta.ru/news/2025/11/26/godovaya-inflyatsiya-v-rossii-opustilas-nizhe-semi-protsentov,Годовая инфляция в России опустилась ниже 7%,Быстрый (новостной),1,Новость об инфляции,СНИЖЕНИЕ,ценовая стабилизация,инфляция как лихорадка,ЦБ / общество,снижение / повышение,стабилизация
M024,https://www.gazeta.ru/politics/2024/12/01/20165072.shtml,Путин подписал бюджет на три года,Быстрый (новостной),1,Новость о бюджете,БЮДЖЕТ,финансовое планирование,бюджет как план,государство / общество,расход / доход,планирование
M025,https://tass.ru/ekonomika/27530931,В РФ снизилось количество преступлений с использованием новых технологий,Быстрый (новостной),1,Новость о киберпреступности,БЕЗОПАСНОСТЬ,правопорядок,преступность как угроза,правоохранители / общество,безопасность / опасность,контроль
M026,https://tass.ru/obschestvo/27546499,В Москве число IT-преступлений против граждан снизилось,Быстрый (новостной),1,Новость о кибербезопасности,ЗАЩИТА,цифровая безопасность,киберпространство как поле боя,МВД / гражданин,защита / риски,превенция
M027,https://tass.ru/proisshestviya/27138967,"Число причастных к терроризму подростков выросло в 2,5 раза",Быстрый (новостной),1,Новость о безопасности,ВЫЗОВ,радикализация молодёжи,радикализм как вирус,правоохранители / молодёжь,безопасность / риски,профилактика
M028,https://tass.ru/politika/27447659,Лидеры РФ и КНР примут Декларацию о многополярном мире,Быстрый (новостной),1,Новость о международной политике,МНОГОПОЛЯРНОСТЬ,многополярный порядок,мир как полюса,лидеры / страны,многополярность / униполярность,координация
