url,title,corpus_section,text_type,concept,frame,metaphor,subject_role,value_opposition,action_model
https://tass.ru/ekonomika/27040453,Затраты бизнеса в РФ на ИИ в 2025 году составили 257 млрд рублей,Новости,Новость о внедрении ИИ,РАЗВИТИЕ,технологический прорыв,технология как двигатель,государство / эксперт,прогресс / отставание,модернизация
https://tass.ru/ekonomika/27570217,В рамочном законопроекте про ИИ в России учли предложения разработчиков,Новости,Новость о регулировании ИИ,БЕЗОПАСНОСТЬ,регулирование,закон как рамка,разработчик / парламент,порядок / хаос,регулирование
https://ria.ru/20260530/uchenye-2095743428.html,Российские ученые оценили влияние ИИ на фармацевтику,Новости,Новость о науке,ЗНАНИЕ,научное открытие,наука как двигатель,учёный / общество,открытие / застой,инновация
https://www.kommersant.ru/doc/8692923,Путин назвал конкурентные преимущества России в развитии ИИ,Новости,Новость о стратегии ИИ,СИЛА,национальное лидерство,государство как механизм,президент / страна,лидерство / зависимость,стратегическое развитие
https://www.rbc.ru/technology_and_media/08/11/2024/671b85db9a794780798aea5b,Зачем промышленным предприятиям России нужны нейросети,Новости,Новость о внедрении ИИ,ЭФФЕКТИВНОСТЬ,промышленная модернизация,нейросеть как инструмент,предприятие / государство,модернизация / отсталость,оптимизация
https://iz.ru/1814425/anton-belyi/mashinnyj-cvet-rynok-ii-v-rossii-kratno-vyrastet-v-2025-godu,Рынок ИИ в России кратно вырастет в 2025 году,Новости,Новость о рынке ИИ,РОСТ,рыночная экспансия,рынок как организм,бизнес / инвестор,рост / стагнация,инвестиция
https://iz.ru/2049479/iana-shturma/novyj-kod-hakery-stali-vdvoe-chashche-ispolzovat-ii-dlya-atak,Хакеры стали вдвое чаще использовать ИИ для атак,Новости,Новость о кибербезопасности,УГРОЗА,кибератака,ИИ как оружие,хакер / государство,опасность / защита,защита
https://www.gazeta.ru/politics/2024/05/14/19076389.shtml,"Новое правительство России 2024: все министры, вице-премьеры",Новости,Новость о власти,ВЛАСТЬ,государственное управление,правительство как механизм,президент / министр,стабильность / перемены,управление
https://www.gazeta.ru/social/2024/03/01/18354896.shtml,"Путин послал послание: современная, комфортная Россия",Новости,Новость о национальном курсе,БУДУЩЕЕ,национальный проект,страна как семья,президент / народ,развитие / упадок,строительство
https://ria.ru/20251208/putiny-2060617599.html,Путин поручил разработать меры по улучшению демографии,Новости,Новость о демографии,ЖИЗНЬ,демографическая политика,нация как организм,президент / правительство,рождение / вымирание,сохранение
https://ria.ru/20251015/rossiya-2048504926.html,Концепция миграционной политики коснется образования и русского языка,Новости,Новость о миграции,ИДЕНТИЧНОСТЬ,культурная интеграция,миграция как поток,государство / мигрант,интеграция / изоляция,ассимиляция
https://www.rbc.ru/society/31/01/2025/679ceb1f9a794739d6fa3ad1,Росстат назвал численность россиян к началу 2025 года,Новости,Новость о населении,ДЕМОГРАФИЯ,статистический учёт,население как ресурс,государство / общество,рост / сокращение,мониторинг
https://iz.ru/1859796/valentina-averanova/roditelnyi-padez-u-rossii-poavilas-demograficeskaa-strategia,У России появилась демографическая стратегия,Новости,Новость о стратегии,СЕМЬЯ,стратегическое планирование,стратегия как путь,государство / семья,планирование / стихийность,планирование
https://www.vedomosti.ru/society/articles/2025/05/16/1110458-vtsiom-videlil-chetire-demograficheskih-stsenariya,ВЦИОМ выделил четыре демографических сценария к 2036,Новости,Новость о прогнозе,ПРОГНОЗ,сценарное планирование,будущее как развилка,эксперт / общество,оптимизм / пессимизм,прогнозирование
https://tass.ru/opinions/27578597,Образование как главный экспорт XXI века: шансы России,Новости,Новость об образовании,ЭКСПОРТ,образовательная экспансия,образование как товар,университет / государство,лидерство / отставание,экспансия
https://tass.ru/obschestvo/26279597,Ведущие вузы РФ начнут переход на новую систему образования,Новости,Новость о реформе образования,РЕФОРМА,образовательная трансформация,реформа как переход,министерство / вуз,новое / старое,трансформация
https://www.interfax.ru/russia/1077376,Вузы перейдут на новую систему образования с сентября,Новости,Новость о реформе образования,ПЕРЕХОД,системная трансформация,образование как механизм,министерство / вуз,прогресс / сопротивление,реализация
https://www.rbc.ru/economics/06/02/2026/6985fe749a7947b0e2a18e3e,Экономика РФ в 2025 году выросла на 1%,Новости,Новость о ВВП,РОСТ,экономическая динамика,экономика как организм,государство / Росстат,рост / спад,стимулирование
